Name,Address,Degree,Field,ProgramLength,Region,Tuition,Deadline,ApplicationFee,lat,lon,link
Carnegie Mellon University,"Pittsburgh, PA",Master,Computer Science,2,MidAtlantic,0,2,0,40.4432,-79.9428,https://applygrad.cs.cmu.edu/apply/index.php?domain=1
UC Berkeley,"Berkeley, CA",Phd,Physics,6,Pacific,0,2,0,37.8719,-122.2585,https://grad.berkeley.edu/admissions/choosing-your-program/list/
